LJ021-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 6.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section six.
LJ023-0123|If these problems cannot be effectively solved within the Constitution,|If these problems cannot be effectively solved within the Constitution,
LJ023-0124|we shall seek such clarifying amendment as will assure the power to enact those laws,|we shall seek such clarifying amendment as will assure the power to enact those laws,
LJ023-0125|adequately to regulate commerce, protect public health and safety, and safeguard economic security.|adequately to regulate commerce, protect public health and safety, and safeguard economic security.
LJ023-0126|In other words, we said we would seek an amendment only if every other possible means by legislation were to fail.|In other words, we said we would seek an amendment only if every other possible means by legislation were to fail.
LJ023-0127|When I commenced to review the situation with the problem squarely before me,|When I commenced to review the situation with the problem squarely before me,
LJ023-0128|I came by a process of elimination to the conclusion that, short of amendments,|I came by a process of elimination to the conclusion that, short of amendments,
LJ023-0129|the only method which was clearly constitutional, and would at the same time carry out other much needed reforms,|the only method which was clearly constitutional, and would at the same time carry out other much needed reforms,
LJ023-0130|was to infuse new blood into all our courts.|was to infuse new blood into all our courts.
LJ023-0131|We must have men worthy and equipped to carry out impartial justice.|We must have men worthy and equipped to carry out impartial justice.
LJ023-0132|But, at the same time, we must have judges who will bring to the courts a present-day sense of the Constitution|But, at the same time, we must have judges who will bring to the courts a present-day sense of the Constitution
LJ023-0133|judges who will retain in the courts the judicial functions of a court,|judges who will retain in the courts the judicial functions of a court,
LJ023-0134|and reject the legislative powers which the courts have today assumed.|and reject the legislative powers which the courts have today assumed.
LJ023-0135|In forty-five out of the forty-eight states of the Union, judges are chosen not for life but for a period of years.|In forty-five out of the forty-eight states of the Union, judges are chosen not for life but for a period of years.
LJ023-0136|In many states judges must retire at the age of seventy.|In many states judges must retire at the age of seventy.
LJ023-0137|Congress has provided financial security|Congress has provided financial security
LJ023-0138|by offering life pensions at full pay for federal judges on all courts who are willing to retire at seventy.|by offering life pensions at full pay for federal judges on all courts who are willing to retire at seventy.
LJ023-0139|In the case of Supreme Court justices, that pension is $20,000 a year.|In the case of Supreme Court justices, that pension is twenty thousand dollars a year.
LJ023-0140|But all federal judges, once appointed,|But all federal judges, once appointed,
LJ023-0141|can, if they choose, hold office for life, no matter how old they may get to be.|can, if they choose, hold office for life, no matter how old they may get to be.
LJ024-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt
LJ024-0002|Section 10. March 9, 1937. Part 2.|Section ten. March nine, nineteen thirty-seven. Part two.
LJ024-0003|What is my proposal?|What is my proposal?
LJ024-0004|It is simply this: whenever a judge or justice of any federal court|It is simply this: whenever a judge or justice of any federal court
LJ024-0005|has reached the age of seventy and does not avail himself of the opportunity to retire on a pension,|has reached the age of seventy and does not avail himself of the opportunity to retire on a pension,
LJ024-0006|a new member shall be appointed by the President then in office,|a new member shall be appointed by the President then in office,
LJ024-0007|with the approval, as required by the Constitution, of the Senate of the United States.|with the approval, as required by the Constitution, of the Senate of the United States.
LJ024-0008|That plan has two chief purposes.|That plan has two chief purposes.
LJ024-0009|By bringing into the judicial system a steady and continuing stream of new and younger blood, I hope, first,|By bringing into the judicial system a steady and continuing stream of new and younger blood, I hope, first,
LJ024-0010|to make the administration of all federal justice speedier and, therefore, less costly;|to make the administration of all federal justice speedier and, therefore, less costly;
LJ024-0011|secondly, to bring to the decision of social and economic problems younger men who have had personal experience and contact|secondly, to bring to the decision of social and economic problems younger men who have had personal experience and contact
LJ024-0012|with modern facts and circumstances under which average men have to live and work.|with modern facts and circumstances under which average men have to live and work.
LJ024-0013|This plan will save our national Constitution from hardening of the judicial arteries.|This plan will save our national Constitution from hardening of the judicial arteries.
LJ024-0014|The number of judges to be appointed would depend wholly on the decision of present judges now over seventy,|The number of judges to be appointed would depend wholly on the decision of present judges now over seventy,
LJ024-0015|or those who would subsequently reach the age of seventy.|or those who would subsequently reach the age of seventy.
LJ024-0016|If, for instance, any one of the six justices of the Supreme Court now over the age of seventy should retire as provided under the plan,|If, for instance, any one of the six justices of the Supreme Court now over the age of seventy should retire as provided under the plan,
LJ024-0017|no additional place would be created.|no additional place would be created.
LJ024-0018|Consequently, although there never can be more than fifteen, there may be only fourteen, or thirteen, or twelve.|Consequently, although there never can be more than fifteen, there may be only fourteen, or thirteen, or twelve.
LJ024-0019|And there may be only nine.|And there may be only nine.
LJ024-0020|There is nothing novel or radical about this idea.|There is nothing novel or radical about this idea.
LJ024-0021|It seeks to maintain the federal bench in full vigor.|It seeks to maintain the federal bench in full vigor.
LJ024-0022|It has been discussed and approved by many persons of high authority|It has been discussed and approved by many persons of high authority
LJ024-0023|ever since a similar proposal passed the House of Representatives in 1869.|ever since a similar proposal passed the House of Representatives in eighteen sixty-nine.
LJ024-0024|Why was the age fixed at seventy?|Why was the age fixed at seventy?
LJ024-0025|Because the laws of many states, the practice of the Civil Service, the regulations of the Army and Navy,|Because the laws of many states, the practice of the Civil Service, the regulations of the Army and Navy,
LJ024-0026|and the rules of many of our universities and of almost every great private business enterprise,|and the rules of many of our universities and of almost every great private business enterprise,
LJ024-0027|commonly fix the retirement age at seventy years or less.|commonly fix the retirement age at seventy years or less.
LJ024-0028|The statute would apply to all the courts in the federal system.|The statute would apply to all the courts in the federal system.
LJ024-0029|There is general approval so far as the lower federal courts are concerned.|There is general approval so far as the lower federal courts are concerned.
LJ024-0030|The plan has met opposition only so far as the Supreme Court of the United States itself is concerned.|The plan has met opposition only so far as the Supreme Court of the United States itself is concerned.
LJ024-0031|If such a plan is good for the lower courts it certainly ought to be equally good for the highest court from which there is no appeal.|If such a plan is good for the lower courts it certainly ought to be equally good for the highest court from which there is no appeal.
LJ024-0032|Those opposing this plan have sought to arouse prejudice and fear by crying that I am seeking to "pack" the Supreme Court|Those opposing this plan have sought to arouse prejudice and fear by crying that I am seeking to "pack" the Supreme Court
LJ024-0033|and that a baneful precedent will be established.|and that a baneful precedent will be established.
LJ024-0034|What do they mean by the words "packing the Court"?|What do they mean by the words "packing the Court"?
LJ024-0035|Let me answer this question with a bluntness that will end all honest misunderstanding of my purposes.|Let me answer this question with a bluntness that will end all honest misunderstanding of my purposes.
LJ024-0036|If by that phrase "packing the Court" it is charged that I wish to place on the bench spineless puppets|If by that phrase "packing the Court" it is charged that I wish to place on the bench spineless puppets
LJ024-0037|who would disregard the law and would decide specific cases as I wished them to be decided, I make this answer:|who would disregard the law and would decide specific cases as I wished them to be decided, I make this answer:
LJ024-0038|that no President fit for his office would appoint,|that no President fit for his office would appoint,
LJ024-0039|and no Senate of honorable men fit for their office would confirm, that kind of appointees to the Supreme Court.|and no Senate of honorable men fit for their office would confirm, that kind of appointees to the Supreme Court.
LJ024-0040|But if by that phrase the charge is made|But if by that phrase the charge is made
LJ024-0041|that I would appoint and the Senate would confirm justices worthy to sit beside present members of the Court|that I would appoint and the Senate would confirm justices worthy to sit beside present members of the Court
LJ024-0042|who understand those modern conditions,|who understand those modern conditions,
LJ024-0043|that I will appoint justices who will not undertake to override the judgment of the Congress on legislative policy,|that I will appoint justices who will not undertake to override the judgment of the Congress on legislative policy,
LJ024-0044|that I will appoint justices who will act as justices and not as legislators|that I will appoint justices who will act as justices and not as legislators
LJ024-0045|if the appointment of such justices can be called "packing the Courts,"|if the appointment of such justices can be called "packing the Courts,"
LJ024-0046|then I say that I and with me the vast majority of the American people favor doing just that thing -- now.|then I say that I and with me the vast majority of the American people favor doing just that thing -- now.
LJ024-0047|Is it a dangerous precedent for the Congress to change the number of the justices? The Congress has always had, and will have, that power.|Is it a dangerous precedent for the Congress to change the number of the justices? The Congress has always had, and will have, that power.
LJ024-0048|The number of justices has been changed several times before,|The number of justices has been changed several times before,
LJ024-0049|in the administration of John Adams and Thomas Jefferson -- both signers of the Declaration of Independence|in the administration of John Adams and Thomas Jefferson -- both signers of the Declaration of Independence
LJ024-0050|Andrew Jackson, Abraham Lincoln and Ulysses S. Grant.|Andrew Jackson, Abraham Lincoln and Ulysses S. Grant.
LJ024-0051|I suggest only the addition of justices to the bench|I suggest only the addition of justices to the bench
LJ024-0052|in accordance with a clearly defined principle relating to a clearly defined age limit.|in accordance with a clearly defined principle relating to a clearly defined age limit.
LJ024-0053|Fundamentally, if in the future, America cannot trust the Congress it elects to refrain from abuse of our Constitutional usages|Fundamentally, if in the future, America cannot trust the Congress it elects to refrain from abuse of our Constitutional usages
LJ024-0054|democracy will have failed far beyond the importance to it of any king of precedent concerning the judiciary.|democracy will have failed far beyond the importance to it of any king of precedent concerning the judiciary.
LJ024-0055|We think it so much in the public interest to maintain a vigorous judiciary|We think it so much in the public interest to maintain a vigorous judiciary
LJ024-0056|that we encourage the retirement of elderly judges by offering them a life pension at full salary.|that we encourage the retirement of elderly judges by offering them a life pension at full salary.
LJ024-0057|Why then should we leave the fulfillment of this public policy to chance|Why then should we leave the fulfillment of this public policy to chance
LJ024-0058|or make independent on upon the desire or prejudice of any individual justice?|or make independent on upon the desire or prejudice of any individual justice?
LJ024-0059|It is the clear intention of our public policy to provide for a constant flow of new and younger blood into the judiciary.|It is the clear intention of our public policy to provide for a constant flow of new and younger blood into the judiciary.
LJ024-0060|Normally every President appoints a large number of district and circuit court judges and a few members of the Supreme Court.|Normally every President appoints a large number of district and circuit court judges and a few members of the Supreme Court.
LJ024-0061|Until my first term practically every President of the United States has appointed at least one member of the Supreme Court.|Until my first term practically every President of the United States has appointed at least one member of the Supreme Court.
LJ024-0062|President Taft appointed five members and named a Chief Justice;|President Taft appointed five members and named a Chief Justice;
LJ024-0063|President Wilson, three; President Harding, four, including a Chief Justice; President Coolidge, one;|President Wilson, three; President Harding, four, including a Chief Justice; President Coolidge, one;
LJ024-0064|President Hoover, three, including a Chief Justice.|President Hoover, three, including a Chief Justice.
LJ024-0065|Such a succession of appointments should have provided a Court well-balanced as to age.|Such a succession of appointments should have provided a Court well-balanced as to age.
LJ024-0066|But chance and the disinclination of individuals to leave the Supreme bench|But chance and the disinclination of individuals to leave the Supreme bench
LJ024-0067|have now given us a Court in which five justices will be over seventy-five years of age before next June|have now given us a Court in which five justices will be over seventy-five years of age before next June
LJ024-0068|and one over seventy.|and one over seventy.
LJ024-0069|Thus a sound public policy has been defeated.|Thus a sound public policy has been defeated.
LJ024-0070|I now propose that we establish by law an assurance against any such ill-balanced court in the future.|I now propose that we establish by law an assurance against any such ill-balanced court in the future.
LJ024-0071|I propose that hereafter, when a judge reaches the age of seventy,|I propose that hereafter, when a judge reaches the age of seventy,
LJ024-0072|a new and younger judge shall be added to the court automatically.|a new and younger judge shall be added to the court automatically.
LJ024-0073|In this way I propose to enforce a sound public policy by law|In this way I propose to enforce a sound public policy by law
LJ024-0074|instead of leaving the composition of our federal courts, including the highest,|instead of leaving the composition of our federal courts, including the highest,
LJ024-0075|to be determined by chance or the personal indecision of individuals.|to be determined by chance or the personal indecision of individuals.
LJ024-0076|If such a law as I propose is regarded as establishing a new precedent,|If such a law as I propose is regarded as establishing a new precedent,
LJ024-0077|is it not a most desirable precedent?|is it not a most desirable precedent?
LJ024-0078|Like all lawyers, like all Americans, I regret the necessity of this controversy.|Like all lawyers, like all Americans, I regret the necessity of this controversy.
LJ024-0079|But the welfare of the United States, and indeed of the Constitution itself, is what we all must think about first.|But the welfare of the United States, and indeed of the Constitution itself, is what we all must think about first.
LJ024-0080|Our difficulty with the Court today rises not from the Court as an institution but from human beings within it.|Our difficulty with the Court today rises not from the Court as an institution but from human beings within it.
LJ024-0081|But we cannot yield our constitutional destiny to the personal judgment of a few men who, being fearful of the future,|But we cannot yield our constitutional destiny to the personal judgment of a few men who, being fearful of the future,
LJ024-0082|would deny us the necessary means of dealing with the present.|would deny us the necessary means of dealing with the present.
LJ024-0083|This plan of mine is no attack on the Court;|This plan of mine is no attack on the Court;
LJ024-0084|it seeks to restore the Court to its rightful and historic place in our constitutional government|it seeks to restore the Court to its rightful and historic place in our constitutional government
LJ024-0085|and to have it resume its high task of building anew on the Constitution "a system of living law."|and to have it resume its high task of building anew on the Constitution "a system of living law."
LJ024-0086|The Court itself can best undo what the Court has done.|The Court itself can best undo what the Court has done.
LJ024-0088|I hope that thereby the difficult process of constitutional amendment may be rendered unnecessary. But,|I hope that thereby the difficult process of constitutional amendment may be rendered unnecessary. But,
LJ024-0089|let us examine the process.|let us examine the process.
LJ024-0090|There are many types of amendment proposed.|There are many types of amendment proposed.
LJ024-0091|Each one is radically different from the other.|Each one is radically different from the other.
LJ024-0092|There is no substantial groups within the Congress or outside it who are agreed on any single amendment.|There is no substantial groups within the Congress or outside it who are agreed on any single amendment.
LJ024-0093|It would take months or years to get substantial agreement upon the type and language of the amendment.|It would take months or years to get substantial agreement upon the type and language of the amendment.
LJ024-0094|It would take months and years thereafter to get a two-thirds majority in favor of that amendment in both Houses of the Congress.|It would take months and years thereafter to get a two-thirds majority in favor of that amendment in both Houses of the Congress.
LJ024-0095|Then would come the long course of ratification by three-fourths of all the states.|Then would come the long course of ratification by three-fourths of all the states.
LJ024-0096|No amendment which any powerful economic interests or the leaders of any powerful political party have had reason to oppose|No amendment which any powerful economic interests or the leaders of any powerful political party have had reason to oppose
LJ024-0097|has ever been ratified within anything like a reasonable time.|has ever been ratified within anything like a reasonable time.
LJ024-0098|And thirteen states which contain only five percent of the voting population can block ratification|And thirteen states which contain only five percent of the voting population can block ratification
LJ024-0099|even though the thirty- five states with ninety-five percent of the population are in favor of it.|even though the thirty- five states with ninety-five percent of the population are in favor of it.
LJ024-0100|A very large percentage of newspaper publishers, Chambers of Commerce,|A very large percentage of newspaper publishers, Chambers of Commerce,
LJ024-0101|Bar Association, Manufacturers' Associations, who are trying to give the impression that they really do want a constitutional amendment|Bar Association, Manufacturers' Associations, who are trying to give the impression that they really do want a constitutional amendment
LJ024-0102|would be the first to exclaim as soon as an amendment was proposed|would be the first to exclaim as soon as an amendment was proposed
LJ024-0103|Oh! I was for an amendment all right, but this amendment you proposed is not the kind of amendment that I was thinking about.|Oh! I was for an amendment all right, but this amendment you proposed is not the kind of amendment that I was thinking about.
LJ024-0104|I am therefore, going to spend my time, my efforts and my money|I am therefore, going to spend my time, my efforts and my money
LJ024-0105|to block the amendment, although I would be awfully glad to help get some other kind of amendment ratified.|to block the amendment, although I would be awfully glad to help get some other kind of amendment ratified.
LJ024-0106|Two groups oppose my plan on the ground that they favor a constitutional amendment.|Two groups oppose my plan on the ground that they favor a constitutional amendment.
LJ024-0107|The first includes those who fundamentally object to social and economic legislation along modern lines.|The first includes those who fundamentally object to social and economic legislation along modern lines.
LJ024-0108|This is the same group who during the campaign last Fall tried to block the mandate of the people.|This is the same group who during the campaign last Fall tried to block the mandate of the people.
LJ024-0109|Now they are making a last stand.|Now they are making a last stand.
LJ024-0111|the legislation demanded by the mandate.|the legislation demanded by the mandate.
LJ024-0112|To them I say: I do not think you will be able long to fool the American people as to your purposes.|To them I say: I do not think you will be able long to fool the American people as to your purposes.
LJ024-0113|The other groups is composed of those who honestly believe the amendment process is the best|The other groups is composed of those who honestly believe the amendment process is the best
LJ024-0114|and who would be willing to support a reasonable amendment if they could agree on one.|and who would be willing to support a reasonable amendment if they could agree on one.
LJ024-0115|To them I say: we cannot rely on an amendment as the immediate or only answer to our present difficulties.|To them I say: we cannot rely on an amendment as the immediate or only answer to our present difficulties.
LJ024-0116|When the time comes for action,|When the time comes for action,
LJ024-0117|you will find that many of those who pretend to support you will sabotage any constructive amendment which is proposed.|you will find that many of those who pretend to support you will sabotage any constructive amendment which is proposed.
LJ024-0118|Look at these strange bed-fellows of yours.|Look at these strange bed-fellows of yours.
LJ024-0120|And remember one thing more.|And remember one thing more.
LJ024-0121|Even if an amendment were passed, and even if in the years to come it were to be ratified,|Even if an amendment were passed, and even if in the years to come it were to be ratified,
LJ024-0122|its meaning would depend upon the kind of justices who would be sitting on the Supreme Court bench.|its meaning would depend upon the kind of justices who would be sitting on the Supreme Court bench.
LJ024-0123|An amendment, like the rest of the Constitution,|An amendment, like the rest of the Constitution,
LJ024-0124|is what the justices say it is rather than what its framers or you might hope it is.|is what the justices say it is rather than what its framers or you might hope it is.
LJ024-0125|This proposal of mine will not infringe in the slightest upon the civil or religious liberties so dear to every American.|This proposal of mine will not infringe in the slightest upon the civil or religious liberties so dear to every American.
LJ024-0126|My record as Governor and President proves my devotion to those liberties.|My record as Governor and President proves my devotion to those liberties.
LJ024-0127|You who know me can have no fear that I would tolerate the destruction by any branch of government of any part of our heritage of freedom.|You who know me can have no fear that I would tolerate the destruction by any branch of government of any part of our heritage of freedom.
LJ024-0128|The present attempt by those opposed to progress to play upon the fears of danger to personal liberty|The present attempt by those opposed to progress to play upon the fears of danger to personal liberty
LJ024-0129|brings again to mind that crude and cruel strategy tried by the same opposition|brings again to mind that crude and cruel strategy tried by the same opposition
LJ024-0130|to frighten the workers of America in a pay-envelope propaganda against the Social Security Law.|to frighten the workers of America in a pay-envelope propaganda against the Social Security Law.
LJ024-0131|The workers were not fooled by that propaganda then. The people of America will not be fooled by such propaganda now.|The workers were not fooled by that propaganda then. The people of America will not be fooled by such propaganda now.
LJ024-0132|I am in favor of action through legislation:|I am in favor of action through legislation:
LJ024-0133|First, because I believe that it can be passed at this session of the Congress.|First, because I believe that it can be passed at this session of the Congress.
LJ024-0134|Second, because it will provide a reinvigorated|Second, because it will provide a reinvigorated
LJ024-0135|liberal-minded judiciary necessary to furnish quicker and cheaper justice from bottom to top.|liberal-minded judiciary necessary to furnish quicker and cheaper justice from bottom to top.
LJ024-0136|Third, because it will provide a series of federal courts willing to enforce the Constitution as written,|Third, because it will provide a series of federal courts willing to enforce the Constitution as written,
LJ024-0137|and unwilling to assert legislative powers by writing into it their own political and economic policies.|and unwilling to assert legislative powers by writing into it their own political and economic policies.
LJ024-0138|During the past half century the balance of power between the three great branches of the federal government,|During the past half century the balance of power between the three great branches of the federal government,
LJ024-0139|has been tipped out of balance by the courts in direct contradiction of the high purposes of the framers of the Constitution.|has been tipped out of balance by the courts in direct contradiction of the high purposes of the framers of the Constitution.
LJ024-0140|It is my purpose to restore that balance.|It is my purpose to restore that balance.
LJ024-0141|You who know me will accept my solemn assurance that in a world in which democracy is under attack,|You who know me will accept my solemn assurance that in a world in which democracy is under attack,
LJ024-0142|I seek to make American democracy succeed.|I seek to make American democracy succeed.
LJ024-0143|You and I will do our part.|You and I will do our part.
LJ025-0001|The Science: History of the Universe, Volume 5.|The Science: History of the Universe, Volume five.
LJ025-0002|Edited by Francis Rolt-Wheeler. Biology. Chapter 7. Organic Functions. Part One.|Edited by Francis Rolt-Wheeler. Biology. Chapter seven. Organic Functions. Part One.
LJ025-0003|The facts dealing with the physiology of organisms, the activities associated with that which we call life|The facts dealing with the physiology of organisms, the activities associated with that which we call life
LJ025-0004|are often designated Organic Functions.|are often designated Organic Functions.
LJ025-0005|The terms animal physiology, plant physiology and human physiology are in common use and often suggest to the lay reader|The terms animal physiology, plant physiology and human physiology are in common use and often suggest to the lay reader
LJ025-0006|that the functions or workings of the organs of plants, animals or man are quite distinct,|that the functions or workings of the organs of plants, animals or man are quite distinct,
LJ025-0007|so much so as to require discussion in different treatises.|so much so as to require discussion in different treatises.
LJ025-0008|This is true only as a matter of detail,|This is true only as a matter of detail,
LJ025-0009|for in the past fifty years it has been made evident that in general principles all living things are fundamentally similar.|for in the past fifty years it has been made evident that in general principles all living things are fundamentally similar.
LJ025-0010|One of the most important summaries of this similarity|One of the most important summaries of this similarity
LJ025-0011|is Huxley's famous essay, "The Border Territory Between the Animal and Vegetable Kingdoms," written in 1876,|is Huxley's famous essay, "The Border Territory Between the Animal and Vegetable Kingdoms," written in eighteen seventy-six,
LJ025-0012|extracts from which follow.|extracts from which follow.
LJ025-0013|In the second edition of the "Regne Animal," published in 1828,|In the second edition of the "Regne Animal," published in eighteen twenty-eight,
LJ025-0014|Cuvier devotes a special section to the Division of Organized Beings into Animals and Vegetables,|Cuvier devotes a special section to the Division of Organized Beings into Animals and Vegetables,
LJ025-0015|in which the question is treated with that comprehensiveness of knowledge and clear critical judgment which characterize his writings|in which the question is treated with that comprehensiveness of knowledge and clear critical judgment which characterize his writings
LJ025-0016|and justify biologists in regarding them as representative expressions of the most extensive, if not the profoundest, knowledge of his time.|and justify biologists in regarding them as representative expressions of the most extensive, if not the profoundest, knowledge of his time.
LJ025-0017|He affirms that living beings have been subdivided from the earliest times into animated beings, which possess sense and motion,|He affirms that living beings have been subdivided from the earliest times into animated beings, which possess sense and motion,
LJ025-0018|and inanimated beings, which are devoid of these functions and simply vegetable.|and inanimated beings, which are devoid of these functions and simply vegetable.
LJ025-0019|Although the roots of plants direct themselves toward moisture and their leaves toward air and light,|Although the roots of plants direct themselves toward moisture and their leaves toward air and light,
LJ025-0020|although the parts of some plants exhibit oscillating movements without any perceptible cause and the leaves of others retract when touched,|although the parts of some plants exhibit oscillating movements without any perceptible cause and the leaves of others retract when touched,
LJ025-0021|yet none of these movements justify the ascription to plants of perception of will.|yet none of these movements justify the ascription to plants of perception of will.
LJ025-0022|From the mobility of animals Cuvier, with his characteristic partiality for teleological reasoning,|From the mobility of animals Cuvier, with his characteristic partiality for teleological reasoning,
LJ025-0023|reduces the necessity of the existence in them of an alimentary cavity, or reservoir of food,|reduces the necessity of the existence in them of an alimentary cavity, or reservoir of food,
LJ025-0024|whence their nutrition may be drawn by vessels, which are a sort of internal roots; and, in the presence of this alimentary cavity|whence their nutrition may be drawn by vessels, which are a sort of internal roots; and, in the presence of this alimentary cavity
LJ025-0025|he naturally sees the primary and the most important distinction between animals and plants,|he naturally sees the primary and the most important distinction between animals and plants,
LJ025-0026|Following out his teleological argument, Cuvier remarks that the organization of this cavity|Following out his teleological argument, Cuvier remarks that the organization of this cavity
LJ025-0027|and its appurtenances must needs vary according to the nature of the aliment and the operations which it has to undergo|and its appurtenances must needs vary according to the nature of the aliment and the operations which it has to undergo
LJ025-0028|before it can be converted into substances fitted for absorption,|before it can be converted into substances fitted for absorption,
LJ025-0029|while the atmosphere and the earth supply plants with juices ready prepared and which can be absorbed immediately.|while the atmosphere and the earth supply plants with juices ready prepared and which can be absorbed immediately.
LJ025-0030|As the animal body required to be independent of heat and of the atmosphere,|As the animal body required to be independent of heat and of the atmosphere,
LJ025-0031|there were no means by which the motion of its fluids could be produced by internal causes.|there were no means by which the motion of its fluids could be produced by internal causes.
LJ025-0032|Hence arose the second great distinctive character of animals, or the circulatory system, which is less important than the digestive,|Hence arose the second great distinctive character of animals, or the circulatory system, which is less important than the digestive,
LJ025-0033|since it was unnecessary, and therefore is absent, in the more simple animals.|since it was unnecessary, and therefore is absent, in the more simple animals.
LJ025-0034|Animals further needed muscles for locomotion and nerves for sensibility.|Animals further needed muscles for locomotion and nerves for sensibility.
LJ025-0035|Hence, says Cuvier, it was necessary that the chemical composition of the animal body should be more complicated than that of the plant;|Hence, says Cuvier, it was necessary that the chemical composition of the animal body should be more complicated than that of the plant;
LJ025-0036|and it is so, inasmuch as an additional substance -- nitrogen -- enters into it as an essential element;|and it is so, inasmuch as an additional substance -- nitrogen -- enters into it as an essential element;
LJ025-0037|while in plants nitrogen is only accidentally joined with the three other fundamental constituents of organic beings|while in plants nitrogen is only accidentally joined with the three other fundamental constituents of organic beings
LJ025-0038|carbon, hydrogen and oxygen.|carbon, hydrogen and oxygen.
LJ025-0039|he afterward affirms that nitrogen is peculiar to animals, and herein he places the third distinction between the animal and the plant.|he afterward affirms that nitrogen is peculiar to animals, and herein he places the third distinction between the animal and the plant.
LJ025-0040|The soil and the atmosphere supply plants with water composed of hydrogen and oxygen|The soil and the atmosphere supply plants with water composed of hydrogen and oxygen
LJ025-0041|and carbonic acid containing carbon and oxygen.|and carbonic acid containing carbon and oxygen.
LJ025-0042|They retain the hydrogen and the carbon, exhale the superfluous oxygen and absorb little or no nitrogen.|They retain the hydrogen and the carbon, exhale the superfluous oxygen and absorb little or no nitrogen.
LJ025-0043|The essential character of vegetable life is the exhalation of oxygen, which is effected through the agency of light.|The essential character of vegetable life is the exhalation of oxygen, which is effected through the agency of light.
LJ025-0044|Animals, on the contrary, derive their nourishment either directly or indirectly from plants.|Animals, on the contrary, derive their nourishment either directly or indirectly from plants.
LJ025-0045|They get rid of the superfluous hydrogen and carbon and accumulate nitrogen.|They get rid of the superfluous hydrogen and carbon and accumulate nitrogen.
LJ025-0046|The relations of plants and animals to the atmosphere are therefore inverse.|The relations of plants and animals to the atmosphere are therefore inverse.
LJ025-0047|The plant withdraws water and carbonic acid from the atmosphere, the animal contributes both to it.|The plant withdraws water and carbonic acid from the atmosphere, the animal contributes both to it.
LJ025-0048|Respiration -- that is, the absorption of oxygen and the exhalation of carbonic acid|Respiration -- that is, the absorption of oxygen and the exhalation of carbonic acid
LJ025-0049|is the specially animal function of animals and constitutes their fourth distinctive character.|is the specially animal function of animals and constitutes their fourth distinctive character.
LJ025-0050|Thus wrote Cuvier in 1828.|Thus wrote Cuvier in eighteen twenty-eight.
LJ025-0051|But in the fourth and fifth decades of this century|But in the fourth and fifth decades of this century
LJ025-0052|the greatest and most rapid revolution which biological science has ever undergone was effected by the application of the modern microscope|the greatest and most rapid revolution which biological science has ever undergone was effected by the application of the modern microscope
LJ025-0053|to the investigation of organic structure,|to the investigation of organic structure,
LJ025-0054|by the introduction of exact and easily manageable methods of conducting the chemical analysis of organic compounds and finally|by the introduction of exact and easily manageable methods of conducting the chemical analysis of organic compounds and finally
LJ025-0055|by the employment of instruments of precision for the measurement of the physical forces which are at work in the living economy.|by the employment of instruments of precision for the measurement of the physical forces which are at work in the living economy.
LJ025-0056|That the semi-fluid contents (which we now term protoplasm) of the cells of certain plants,|That the semi-fluid contents (which we now term protoplasm) of the cells of certain plants,
LJ025-0057|such as the Charae, are in constant and regular motion was made out by Bonaventura Corti a century ago;|such as the Charae, are in constant and regular motion was made out by Bonaventura Corti a century ago;
LJ025-0058|but the fact, important as it was, fell into oblivion and had to be rediscovered by Treviranus in 1807.|but the fact, important as it was, fell into oblivion and had to be rediscovered by Treviranus in eighteen oh seven.
LJ025-0059|Robert Brown noted the more complex motions of the protoplasm in the cells of Tradescantia in 1831,|Robert Brown noted the more complex motions of the protoplasm in the cells of Tradescantia in eighteen thirty-one,
LJ025-0060|and now such movements of the living substance of plants are well known to be some of the most widely prevalent phenomena of vegetable life.|and now such movements of the living substance of plants are well known to be some of the most widely prevalent phenomena of vegetable life.
LJ025-0061|Agardh and other of the botanists of Cuvier's generation who occupied themselves with the lower plants had observed that,|Agardh and other of the botanists of Cuvier's generation who occupied themselves with the lower plants had observed that,
LJ025-0062|under particular circumstances, the contents of the cells of certain water-weeds were set free and moved about with considerable velocity|under particular circumstances, the contents of the cells of certain water-weeds were set free and moved about with considerable velocity
LJ025-0063|and with all the appearances of spontaneity as locomotive bodies,|and with all the appearances of spontaneity as locomotive bodies,
LJ025-0064|which, from their similarity to animals of simple organization, were called "zoospores."|which, from their similarity to animals of simple organization, were called "zoospores."
LJ025-0065|Even as late as 1845, however, a botanist of Schleiden's eminence dealt very skeptically with these statements,|Even as late as eighteen forty-five, however, a botanist of Schleiden's eminence dealt very skeptically with these statements,
LJ025-0066|and his skepticism was the more justified since Ehrenberg in his elaborate and comprehensive work on the infusoria,|and his skepticism was the more justified since Ehrenberg in his elaborate and comprehensive work on the infusoria,
LJ025-0067|had declared the greater number of what are now recognized as locomotive plants to be animals.|had declared the greater number of what are now recognized as locomotive plants to be animals.
LJ025-0068|"At the present day," writes Huxley,|"At the present day," writes Huxley,
LJ025-0069|innumerable plants and free plant cells are known to pass the whole or part of their lives in an actively locomotive condition,|innumerable plants and free plant cells are known to pass the whole or part of their lives in an actively locomotive condition,
LJ025-0070|in nowise distinguishable from that of one of the simpler animals, and|in nowise distinguishable from that of one of the simpler animals, and
