LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ033-0037|In deciding whether Oswald carried a rifle to work in a long paper bag on November 22,|In deciding whether Oswald carried a rifle to work in a long paper bag on November twenty-two,
LJ033-0038|the Commission gave weight to the fact that Oswald gave a false reason for returning home on November 21,|the Commission gave weight to the fact that Oswald gave a false reason for returning home on November twenty-one,
LJ033-0039|and one which provided an excuse for the carrying of a bulky package the following morning.|and one which provided an excuse for the carrying of a bulky package the following morning.
LJ033-0040|Before dinner on November 21, Oswald played on the lawn of the Paines' home with his daughter June.|Before dinner on November twenty-one, Oswald played on the lawn of the Paines' home with his daughter June.
LJ033-0041|After dinner Ruth Paine and Marina Oswald were busy cleaning house and preparing their children for bed.|After dinner Ruth Paine and Marina Oswald were busy cleaning house and preparing their children for bed.
LJ033-0042|Between the hours of 8 and 9 p.m. they were occupied with the children in the bedrooms located at the extreme east end of the house.|Between the hours of eight and nine p.m. they were occupied with the children in the bedrooms located at the extreme east end of the house.
LJ033-0043|On the west end of the house is the attached garage, which can be reached from the kitchen or from the outside.|On the west end of the house is the attached garage, which can be reached from the kitchen or from the outside.
LJ033-0044|In the garage were the personal belongings of the Oswald family including, as the evidence has shown, the rifle wrapped in the old brown and green blanket.|In the garage were the personal belongings of the Oswald family including, as the evidence has shown, the rifle wrapped in the old brown and green blanket.
LJ033-0045|At approximately 9 p.m., after the children had been put to bed, Mrs. Paine, according to her testimony before the Commission, quote,|At approximately nine p.m., after the children had been put to bed, Mrs. Paine, according to her testimony before the Commission, quote,
LJ033-0047|I noticed when I went out that the light was on, end quote,|I noticed when I went out that the light was on, end quote,
LJ033-0048|Mrs. Paine was certain that she had not left the light on in the garage after dinner.|Mrs. Paine was certain that she had not left the light on in the garage after dinner.
LJ033-0049|According to Mrs. Paine, Oswald had gone to bed by 9 p.m.;|According to Mrs. Paine, Oswald had gone to bed by nine p.m.;
LJ033-0050|Marina Oswald testified that it was between 9 and 10 p.m.|Marina Oswald testified that it was between nine and ten p.m.
LJ033-0051|Neither Marina Oswald nor Ruth Paine saw Oswald in the garage.|Neither Marina Oswald nor Ruth Paine saw Oswald in the garage.
LJ033-0052|The period between 8 and 9 p.m., however, provided ample opportunity for Oswald to prepare the rifle for his departure the next morning.|The period between eight and nine p.m., however, provided ample opportunity for Oswald to prepare the rifle for his departure the next morning.
LJ033-0053|Only if disassembled could the rifle fit into the paper bag found near the window from which the shots were fired.|Only if disassembled could the rifle fit into the paper bag found near the window from which the shots were fired.
LJ033-0054|A firearms expert with the FBI assembled the rifle in 6 minutes using a 10-cent coin as a tool,|A firearms expert with the FBI assembled the rifle in six minutes using a ten-cent coin as a tool,
LJ033-0055|and he could disassemble it more rapidly.|and he could disassemble it more rapidly.
LJ033-0056|While the rifle may have already been disassembled when Oswald arrived home on Thursday, he had ample time that evening to disassemble the rifle|While the rifle may have already been disassembled when Oswald arrived home on Thursday, he had ample time that evening to disassemble the rifle
LJ033-0057|and insert it into the paper bag.|and insert it into the paper bag.
LJ033-0058|On the day of the assassination, Marina Oswald was watching television when she learned of the shooting.|On the day of the assassination, Marina Oswald was watching television when she learned of the shooting.
LJ033-0059|A short time later Mrs. Paine told her that someone had shot the President, quote, from the building in which Lee is working, end quote.|A short time later Mrs. Paine told her that someone had shot the President, quote, from the building in which Lee is working, end quote.
LJ033-0060|Marina Oswald testified that at that time, quote, My heart dropped.|Marina Oswald testified that at that time, quote, My heart dropped.
LJ033-0061|I then went to the garage to see whether the rifle was there and I saw that the blanket was still there and I said Thank God, end quote.|I then went to the garage to see whether the rifle was there and I saw that the blanket was still there and I said Thank God, end quote.
LJ033-0062|She did not unroll the blanket. She saw that it was in its usual position and it appeared to her to have something inside.|She did not unroll the blanket. She saw that it was in its usual position and it appeared to her to have something inside.
LJ033-0063|Soon afterward, at about 3 p.m., police officers arrived and searched the house.|Soon afterward, at about three p.m., police officers arrived and searched the house.
LJ033-0064|Mrs. Paine pointed out that most of the Oswalds' possessions were in the garage.|Mrs. Paine pointed out that most of the Oswalds' possessions were in the garage.
LJ033-0065|With Ruth Paine acting as an interpreter, Detective Rose asked Marina whether her husband had a rifle.|With Ruth Paine acting as an interpreter, Detective Rose asked Marina whether her husband had a rifle.
LJ033-0066|Mrs. Paine, who had no knowledge of the rifle, first said "No," but when the question was translated, Marina Oswald replied "Yes."|Mrs. Paine, who had no knowledge of the rifle, first said "No," but when the question was translated, Marina Oswald replied "Yes."
LJ033-0067|She pointed to the blanket which was on the floor very close to where Ruth Paine was standing.|She pointed to the blanket which was on the floor very close to where Ruth Paine was standing.
LJ033-0068|Mrs. Paine testified, quote,|Mrs. Paine testified, quote,
LJ033-0069|As she [Marina] told me about it I stepped onto the blanket roll|As she [Marina] told me about it I stepped onto the blanket roll
LJ033-0070|And she indicated to me that she had peered into this roll and saw a portion of what she took to be a gun she knew her husband to have, a rifle.|And she indicated to me that she had peered into this roll and saw a portion of what she took to be a gun she knew her husband to have, a rifle.
LJ033-0071|And I then translated this to the officers that she knew that her husband had a gun that he had stored in here.|And I then translated this to the officers that she knew that her husband had a gun that he had stored in here.
LJ033-0073|Mrs. Paine had the actual blanket before her as she testified and she indicated that the blanket hung limp in the officer's hand.|Mrs. Paine had the actual blanket before her as she testified and she indicated that the blanket hung limp in the officer's hand.
LJ033-0074|Marina Oswald testified that this was her first knowledge that the rifle was not in its accustomed place.|Marina Oswald testified that this was her first knowledge that the rifle was not in its accustomed place.
LJ033-0075|The Long and Bulky Package|The Long and Bulky Package
LJ033-0076|On the morning of November 22, 1963,|On the morning of November twenty-two, nineteen sixty-three,
LJ033-0077|Lee Harvey Oswald left the Paine house in Irving at approximately 7:15 a.m., while Marina Oswald was still in bed.|Lee Harvey Oswald left the Paine house in Irving at approximately seven:fifteen a.m., while Marina Oswald was still in bed.
LJ033-0078|Neither she nor Mrs. Paine saw him leave the house. About half-a-block away from the Paine house was the residence of Mrs. Linnie Mae Randle,|Neither she nor Mrs. Paine saw him leave the house. About half-a-block away from the Paine house was the residence of Mrs. Linnie Mae Randle,
LJ033-0079|sister of the man with whom Oswald drove to work -- Buell Wesley Frazier.|sister of the man with whom Oswald drove to work -- Buell Wesley Frazier.
LJ033-0080|Mrs. Randle stated that on the morning of November 22, while her brother was eating breakfast,|Mrs. Randle stated that on the morning of November twenty-two, while her brother was eating breakfast,
LJ033-0081|she looked out the breakfast-room window and saw Oswald cross the street and walk toward the driveway where her brother parked his car near the carport.|she looked out the breakfast-room window and saw Oswald cross the street and walk toward the driveway where her brother parked his car near the carport.
LJ033-0082|He carried a, quote, heavy brown bag, end quote.|He carried a, quote, heavy brown bag, end quote.
LJ033-0083|Oswald gripped the bag in his right hand near the top, quote, It tapered like this as he hugged it in his hand.|Oswald gripped the bag in his right hand near the top, quote, It tapered like this as he hugged it in his hand.
LJ033-0084|It was more bulky toward the bottom, end quote, than toward the top.|It was more bulky toward the bottom, end quote, than toward the top.
LJ033-0085|She then opened the kitchen door and saw Oswald open the right rear door of her brother's car and place the package in the back of the car.|She then opened the kitchen door and saw Oswald open the right rear door of her brother's car and place the package in the back of the car.
LJ033-0086|Mrs. Randle estimated that the package was approximately 28 inches long and about 8 inches wide.|Mrs. Randle estimated that the package was approximately twenty-eight inches long and about eight inches wide.
LJ033-0087|She thought that its color was similar to that of the bag found on the sixth floor of the School Book Depository after the assassination.|She thought that its color was similar to that of the bag found on the sixth floor of the School Book Depository after the assassination.
LJ033-0088|Frazier met Oswald at the kitchen door and together they walked to the car.|Frazier met Oswald at the kitchen door and together they walked to the car.
LJ033-0089|After entering the car, Frazier glanced over his shoulder and noticed a brown paper package on the back seat.|After entering the car, Frazier glanced over his shoulder and noticed a brown paper package on the back seat.
LJ033-0090|He asked, quote, What's the package, Lee? End quote. Oswald replied, quote, curtain rods, end quote.|He asked, quote, What's the package, Lee? End quote. Oswald replied, quote, curtain rods, end quote.
LJ033-0091|Frazier told the Commission, quote,|Frazier told the Commission, quote,
LJ033-0092|the main reason he was going over there that Thursday afternoon when he was to bring back some curtain rods, so I didn't think any more about it when he told me that, end quote,|the main reason he was going over there that Thursday afternoon when he was to bring back some curtain rods, so I didn't think any more about it when he told me that, end quote,
LJ033-0093|Frazier estimated that the bag was 2 feet long, quote, give and take a few inches, end quote, and about 5 or 6 inches wide.|Frazier estimated that the bag was two feet long, quote, give and take a few inches, end quote, and about five or six inches wide.
LJ033-0094|As they sat in the car, Frazier asked Oswald where his lunch was, and Oswald replied that he was going to buy his lunch that day.|As they sat in the car, Frazier asked Oswald where his lunch was, and Oswald replied that he was going to buy his lunch that day.
LJ033-0095|Frazier testified that Oswald carried no lunch bag that day.|Frazier testified that Oswald carried no lunch bag that day.
LJ033-0096|quote, when he rode with me, I say he always brought lunch except that one day on November 22 he didn't bring his lunch that day, end quote,|quote, when he rode with me, I say he always brought lunch except that one day on November twenty-two he didn't bring his lunch that day, end quote,
LJ033-0097|Frazier parked the car in the company parking lot about 2 blocks north of the Depository Building.|Frazier parked the car in the company parking lot about two blocks north of the Depository Building.
LJ033-0098|Oswald left the car first, picked up the brown paper bag, and proceeded toward the building ahead of Frazier.|Oswald left the car first, picked up the brown paper bag, and proceeded toward the building ahead of Frazier.
LJ033-0099|Frazier walked behind and as they crossed the railroad tracks he watched the switching of the cars.|Frazier walked behind and as they crossed the railroad tracks he watched the switching of the cars.
LJ033-0100|Frazier recalled that one end of the package was under Oswald's armpit and the lower part was held with his right hand|Frazier recalled that one end of the package was under Oswald's armpit and the lower part was held with his right hand
LJ033-0101|so that it was carried straight and parallel to his body.|so that it was carried straight and parallel to his body.
LJ033-0102|When Oswald entered the rear door of the Depository Building, he was about 50 feet ahead of Frazier.|When Oswald entered the rear door of the Depository Building, he was about fifty feet ahead of Frazier.
LJ033-0103|It was the first time that Oswald had not walked with Frazier from the parking lot to the building entrance.|It was the first time that Oswald had not walked with Frazier from the parking lot to the building entrance.
LJ033-0104|When Frazier entered the building, he did not see Oswald.|When Frazier entered the building, he did not see Oswald.
LJ033-0105|One employee, Jack Dougherty,|One employee, Jack Dougherty,
LJ033-0106|believed that he saw Oswald coming to work, but he does not remember that Oswald had anything in his hands as he entered the door.|believed that he saw Oswald coming to work, but he does not remember that Oswald had anything in his hands as he entered the door.
LJ033-0107|No other employee has been found who saw Oswald enter that morning.|No other employee has been found who saw Oswald enter that morning.
LJ033-0108|In deciding whether Oswald carried the assassination weapon in the bag which Frazier and Mrs. Randle saw,|In deciding whether Oswald carried the assassination weapon in the bag which Frazier and Mrs. Randle saw,
LJ033-0109|the Commission has carefully considered the testimony of these two witnesses with regard to the length of the bag.|the Commission has carefully considered the testimony of these two witnesses with regard to the length of the bag.
LJ033-0110|Frazier and Mrs. Randle testified|Frazier and Mrs. Randle testified
LJ033-0111|that the bag which Oswald was carrying was approximately 27 or 28 inches long, whereas the wooden stock of the rifle, which is its largest component,|that the bag which Oswald was carrying was approximately twenty-seven or twenty-eight inches long, whereas the wooden stock of the rifle, which is its largest component,
LJ033-0112|measured 34.8 inches.|measured thirty-four point eight inches.
LJ033-0113|The bag found on the sixth floor was 88 inches long.|The bag found on the sixth floor was eighty-eight inches long.
LJ033-0114|When Frazier appeared before the Commission and was asked to demonstrate how Oswald carried the package, he said, quote, Like I said,|When Frazier appeared before the Commission and was asked to demonstrate how Oswald carried the package, he said, quote, Like I said,
LJ033-0115|I remember that I didn't look at the package very much but when I did look at it he did have his hands on the package like that, end quote, and at this point|I remember that I didn't look at the package very much but when I did look at it he did have his hands on the package like that, end quote, and at this point
LJ033-0116|Frazier placed the upper part of the package under his armpit and attempted to cup his right hand beneath the bottom of the bag.|Frazier placed the upper part of the package under his armpit and attempted to cup his right hand beneath the bottom of the bag.
LJ033-0117|The disassembled rifle was too long to be carried in this manner.|The disassembled rifle was too long to be carried in this manner.
LJ033-0118|Similarly, when the butt of the rifle was placed in Frazier's hand, it extended above his shoulder to ear level.|Similarly, when the butt of the rifle was placed in Frazier's hand, it extended above his shoulder to ear level.
LJ033-0119|Moreover, in an interview on December 1, 1963, with agents of the FBI, Frazier had marked the point on the back seat of his car|Moreover, in an interview on December one, nineteen sixty-three, with agents of the FBI, Frazier had marked the point on the back seat of his car
LJ033-0120|which he believed was where the bag reached when it was laid on the seat with one edge against the door.|which he believed was where the bag reached when it was laid on the seat with one edge against the door.
LJ033-0121|The distance between the point on the seat and the door was 27 inches.|The distance between the point on the seat and the door was twenty-seven inches.
LJ033-0122|Mrs. Randle said, when shown the paper bag,|Mrs. Randle said, when shown the paper bag,
LJ033-0123|that the bag she saw Oswald carrying, quote, wasn't that long, I mean it was folded down at the top as I told you. It definitely wasn't that long, end quote,|that the bag she saw Oswald carrying, quote, wasn't that long, I mean it was folded down at the top as I told you. It definitely wasn't that long, end quote,
LJ033-0124|And she folded the bag to length of about 28 and a half inches.|And she folded the bag to length of about twenty-eight and a half inches.
LJ033-0125|Frazier doubted whether the bag that Oswald carried was as wide as the bag found on the sixth floor, although Mrs. Randle testified|Frazier doubted whether the bag that Oswald carried was as wide as the bag found on the sixth floor, although Mrs. Randle testified
LJ033-0126|that the width was approximately the same.|that the width was approximately the same.
LJ033-0127|The Commission has weighed the visual recollection of Frazier and Mrs. Randle against the evidence here presented|The Commission has weighed the visual recollection of Frazier and Mrs. Randle against the evidence here presented
LJ033-0128|that the bag Oswald carried contained the assassination weapon and has concluded that Frazier and Randle are mistaken as to the length of the bag.|that the bag Oswald carried contained the assassination weapon and has concluded that Frazier and Randle are mistaken as to the length of the bag.
LJ033-0129|Mrs. Randle saw the bag fleetingly|Mrs. Randle saw the bag fleetingly
LJ033-0130|and her first remembrance is that it was held in Oswald's right hand, quote, and it almost touched the ground as he carried it, end quote.|and her first remembrance is that it was held in Oswald's right hand, quote, and it almost touched the ground as he carried it, end quote.
LJ033-0131|Frazier's view of the bag was from the rear. He continually advised that he was not paying close attention. For example, he said, quote,|Frazier's view of the bag was from the rear. He continually advised that he was not paying close attention. For example, he said, quote,
LJ033-0132|I didn't pay too much attention the way he was walking because I was walking along there looking at the railroad cars and watching the men on the diesel switch them cars|I didn't pay too much attention the way he was walking because I was walking along there looking at the railroad cars and watching the men on the diesel switch them cars
LJ033-0133|and I didn't pay too much attention on how he carried the package at all, end quote.|and I didn't pay too much attention on how he carried the package at all, end quote.
LJ033-0134|Frazier could easily have been mistaken when he stated that Oswald held the bottom of the bag cupped in his hand with the upper end tucked into his armpit.|Frazier could easily have been mistaken when he stated that Oswald held the bottom of the bag cupped in his hand with the upper end tucked into his armpit.
LJ033-0136|A handmade bag of wrapping paper and tape was found in the southeast corner of the sixth floor alongside the window from which the shots were fired.|A handmade bag of wrapping paper and tape was found in the southeast corner of the sixth floor alongside the window from which the shots were fired.
LJ033-0137|It was not a standard type bag which could be obtained in a store and it was presumably made for a particular purpose.|It was not a standard type bag which could be obtained in a store and it was presumably made for a particular purpose.
LJ033-0138|It was the appropriate size to contain, in disassembled form,|It was the appropriate size to contain, in disassembled form,
LJ033-0139|Oswald's Mannlicher-Carcano rifle, serial No. C2766, which was also found on the sixth floor.|Oswald's Mannlicher-Carcano rifle, serial Number C two seven six six, which was also found on the sixth floor.
LJ033-0140|Three cartons had been placed at the window apparently to act as a gun rest and a fourth carton was placed behind those at the window.|Three cartons had been placed at the window apparently to act as a gun rest and a fourth carton was placed behind those at the window.
LJ033-0141|A person seated on the fourth carton could assemble the rifle without being seen from the rest of the sixth floor|A person seated on the fourth carton could assemble the rifle without being seen from the rest of the sixth floor
LJ033-0142|because the cartons stacked around the southeast corner would shield him.|because the cartons stacked around the southeast corner would shield him.
LJ033-0143|The presence of the bag in this corner is cogent evidence that it was used as the container for the rifle.|The presence of the bag in this corner is cogent evidence that it was used as the container for the rifle.
LJ033-0144|At the time the bag was found, Lieutenant Day of the Dallas police wrote on it, quote, Found next to the sixth floor window gun fired from.|At the time the bag was found, Lieutenant Day of the Dallas police wrote on it, quote, Found next to the sixth floor window gun fired from.
LJ033-0145|May have been used to carry gun. Lt. J. C. Day, end quote.|May have been used to carry gun. Lt. J. C. Day, end quote.
LJ033-0146|Scientific Evidence Linking Rifle and Oswald to Paper Bag|Scientific Evidence Linking Rifle and Oswald to Paper Bag
LJ033-0147|Oswald's fingerprint and palmprint found on bag.|Oswald's fingerprint and palmprint found on bag.
LJ033-0148|Using a standard chemical method involving silver nitrates|Using a standard chemical method involving silver nitrates
LJ033-0149|the FBI Laboratory developed a latent palmprint and latent fingerprint on the bag.|the FBI Laboratory developed a latent palmprint and latent fingerprint on the bag.
LJ033-0150|Sebastian F. Latona, supervisor of the FBI's Latent Fingerprint Section,|Sebastian F. Latona, supervisor of the FBI's Latent Fingerprint Section,
LJ033-0151|identified these prints as the left index fingerprint and right palmprint of Lee Harvey Oswald|identified these prints as the left index fingerprint and right palmprint of Lee Harvey Oswald
LJ033-0152|The portion of the palm which was identified was the heel of the right palm, i.e., the area near the wrist, on the little finger side.|The portion of the palm which was identified was the heel of the right palm, i.e., the area near the wrist, on the little finger side.
LJ033-0153|These prints were examined independently by Ronald G. Wittmus of the FBI,|These prints were examined independently by Ronald G. Wittmus of the FBI,
LJ033-0154|and by Arthur Mandella, a fingerprint expert with the New York City Police Department.|and by Arthur Mandella, a fingerprint expert with the New York City Police Department.
LJ033-0155|Both concluded that the prints were the right palm and left index finger of Lee Oswald. No other identifiable prints were found on the bag.|Both concluded that the prints were the right palm and left index finger of Lee Oswald. No other identifiable prints were found on the bag.
LJ033-0156|Oswald's palmprint on the bottom of the paper bag indicated, of course, that he had handled the bag.|Oswald's palmprint on the bottom of the paper bag indicated, of course, that he had handled the bag.
LJ033-0157|Furthermore, it was consistent with the bag having contained a heavy or bulky object when he handled it since a light object is usually held by the fingers.|Furthermore, it was consistent with the bag having contained a heavy or bulky object when he handled it since a light object is usually held by the fingers.
LJ033-0158|The palmprint was found on the closed end of the bag.|The palmprint was found on the closed end of the bag.
LJ033-0159|It was from Oswald's right hand, in which he carried the long package as he walked from Frazier's car to the building.|It was from Oswald's right hand, in which he carried the long package as he walked from Frazier's car to the building.
LJ033-0160|Materials used to make bag.|Materials used to make bag.
LJ033-0161|On the day of the assassination, the Dallas police obtained a sample of wrapping paper and tape|On the day of the assassination, the Dallas police obtained a sample of wrapping paper and tape
LJ033-0162|from the shipping room of the Depository and forwarded it to the FBI Laboratory in Washington.|from the shipping room of the Depository and forwarded it to the FBI Laboratory in Washington.
LJ033-0163|James C. Cadigan, a questioned-documents expert with the Bureau, compared the samples with the paper and tape in the actual bag.|James C. Cadigan, a questioned-documents expert with the Bureau, compared the samples with the paper and tape in the actual bag.
LJ033-0164|He testified, quote,|He testified, quote,
LJ033-0165|In all of the observations and physical tests that I made I found the bag and the paper sample were the same, end quote.|In all of the observations and physical tests that I made I found the bag and the paper sample were the same, end quote.
LJ033-0166|Among other tests, the paper and tape were submitted to fiber analysis and spectrographic examination.|Among other tests, the paper and tape were submitted to fiber analysis and spectrographic examination.
LJ033-0167|In addition the tape was compared to determine whether the sample tape and the tape on the bag had been taken from the tape dispensing machine at the Depository.|In addition the tape was compared to determine whether the sample tape and the tape on the bag had been taken from the tape dispensing machine at the Depository.
LJ033-0168|When asked to explain the similarity of characteristics, Cadigan stated, quote, well briefly|When asked to explain the similarity of characteristics, Cadigan stated, quote, well briefly
LJ033-0169|it would be the thickness of both the paper and the tape, the color under various lighting conditions of both the paper and the tape,|it would be the thickness of both the paper and the tape, the color under various lighting conditions of both the paper and the tape,
LJ033-0170|the width of the tape, the knurled markings on the surface of the fiber, the texture of the fiber, the letting pattern|the width of the tape, the knurled markings on the surface of the fiber, the texture of the fiber, the letting pattern
LJ033-0171|I found that the paper sack found on the sixth floor and the sample|I found that the paper sack found on the sixth floor and the sample
LJ033-0172|had the same observable characteristics both under the microscope and all the visual tests that I could conduct.|had the same observable characteristics both under the microscope and all the visual tests that I could conduct.
LJ033-0173|The papers I also found were similar in fiber composition, therefore, in addition to the visual characteristics,|The papers I also found were similar in fiber composition, therefore, in addition to the visual characteristics,
LJ033-0174|microscopic and UV (ultra violet) characteristics, end quote.|microscopic and UV (ultra violet) characteristics, end quote.
LJ033-0175|Mr. Cadigan concluded that the paper and tape from the bag were identical in all respects to the sample paper and tape|Mr. Cadigan concluded that the paper and tape from the bag were identical in all respects to the sample paper and tape
LJ033-0176|taken from the Texas School Book Depository shipping room on November 22, 1963.|taken from the Texas School Book Depository shipping room on November twenty-two, nineteen sixty-three.
LJ033-0177|On December 1, 1963, a replica bag was made from materials found on that date in the shipping room.|On December one, nineteen sixty-three, a replica bag was made from materials found on that date in the shipping room.
LJ033-0178|This was done as an investigatory aid|This was done as an investigatory aid
LJ033-0179|since the original bag had been discolored during various laboratory examinations and could not be used for valid identification by witnesses.|since the original bag had been discolored during various laboratory examinations and could not be used for valid identification by witnesses.
LJ033-0180|Cadigan found that the paper used to make this replica sack had different characteristics from the paper in the original bag.|Cadigan found that the paper used to make this replica sack had different characteristics from the paper in the original bag.
LJ033-0181|The science of paper analysis enabled him to distinguish between different rolls of paper even though they were produced by the same manufacturer.|The science of paper analysis enabled him to distinguish between different rolls of paper even though they were produced by the same manufacturer.
LJ033-0182|Since the Depository normally used approximately one roll of paper every 3 working days,|Since the Depository normally used approximately one roll of paper every three working days,
LJ033-0183|it was not surprising that the replica sack made on December 1, 1963,|it was not surprising that the replica sack made on December one, nineteen sixty-three,
LJ033-0184|had different characteristics from both the actual bag and the sample taken on November 22.|had different characteristics from both the actual bag and the sample taken on November twenty-two.
LJ033-0185|On the other hand, since two rolls could be made from the same batch of paper,|On the other hand, since two rolls could be made from the same batch of paper,
LJ033-0186|one cannot estimate when, prior to November 22, Oswald made the paper bag.|one cannot estimate when, prior to November twenty-two, Oswald made the paper bag.
LJ033-0187|However, the complete identity of characteristics between the paper and tape in the bag found on the sixth floor|However, the complete identity of characteristics between the paper and tape in the bag found on the sixth floor
LJ033-0188|and the paper and tape found in the shipping room of the Depository on November 22|and the paper and tape found in the shipping room of the Depository on November twenty-two
LJ033-0189|enabled the Commission to conclude that the bag was made from these materials.|enabled the Commission to conclude that the bag was made from these materials.
LJ033-0190|The Depository shipping department was on the first floor to which Oswald had access in the normal performance of his duties filling orders.|The Depository shipping department was on the first floor to which Oswald had access in the normal performance of his duties filling orders.
LJ033-0191|Fibers in paper bag matched fibers in blanket|Fibers in paper bag matched fibers in blanket
LJ033-0192|When Paul M. Stombaugh of the FBI Laboratory examined the paper bag,|When Paul M. Stombaugh of the FBI Laboratory examined the paper bag,
LJ033-0193|he found, on the inside, a single brown delustered viscose fiber and several light green cotton fibers.|he found, on the inside, a single brown delustered viscose fiber and several light green cotton fibers.
LJ033-0194|The blanket in which the rifle was stored was composed of brown and green cotton, viscose and woolen fibers.|The blanket in which the rifle was stored was composed of brown and green cotton, viscose and woolen fibers.
LJ033-0195|The single brown viscose fiber found in the bag matched some of the brown viscose fibers from the blanket in all observable characteristics.|The single brown viscose fiber found in the bag matched some of the brown viscose fibers from the blanket in all observable characteristics.
LJ033-0196|The green cotton fibers found in the paper bag matched some of the green cotton fibers in the blanket|The green cotton fibers found in the paper bag matched some of the green cotton fibers in the blanket
LJ033-0197|quote, in all observable microscopic characteristics, end quote.|quote, in all observable microscopic characteristics, end quote.
LJ033-0198|Despite these matches, however, Stombaugh was unable to render on opinion that the fibers which he found in the bag had probably come from the blanket,|Despite these matches, however, Stombaugh was unable to render on opinion that the fibers which he found in the bag had probably come from the blanket,
LJ033-0199|because other types of fibers present in the blanket were not found in the bag.|because other types of fibers present in the blanket were not found in the bag.
LJ033-0200|He concluded, quote,|He concluded, quote,
LJ033-0201|All I would say here is that it is possible that these fibers could have come from this blanket.|All I would say here is that it is possible that these fibers could have come from this blanket.
LJ033-0202|because this blanket is composed of brown and green woolen fibers, brown and green delustered viscose fibers, and brown and green cotton fibers.|because this blanket is composed of brown and green woolen fibers, brown and green delustered viscose fibers, and brown and green cotton fibers.
LJ033-0203|We found no brown cotton fibers, no green viscose fibers, and no woolen fibers.|We found no brown cotton fibers, no green viscose fibers, and no woolen fibers.
LJ033-0204|So if I found all of these then I would have been able to say these fibers probably had come from this blanket. But since I found so few,|So if I found all of these then I would have been able to say these fibers probably had come from this blanket. But since I found so few,
LJ033-0205|then I would say the possibility exists, these fibers could have come from this blanket, end quote.|then I would say the possibility exists, these fibers could have come from this blanket, end quote.
LJ033-0206|Stombaugh confirmed that the rifle could have picked up fibers from the blanket and transferred them to the paper bag.|Stombaugh confirmed that the rifle could have picked up fibers from the blanket and transferred them to the paper bag.
LJ033-0207|In light of the other evidence linking Lee Harvey Oswald, the blanket, and the rifle to the paper bag found on the sixth floor,|In light of the other evidence linking Lee Harvey Oswald, the blanket, and the rifle to the paper bag found on the sixth floor,
LJ033-0208|the Commission considered Stombaugh's testimony of probative value in deciding whether Oswald carried the rifle into the building in the paper bag.|the Commission considered Stombaugh's testimony of probative value in deciding whether Oswald carried the rifle into the building in the paper bag.
LJ033-0209|The preponderance of the evidence supports the conclusion that Lee Harvey Oswald (1)|The preponderance of the evidence supports the conclusion that Lee Harvey Oswald (one)
LJ033-0210|told the curtain rod story to Frazier to explain both the return to Irving on a Thursday|told the curtain rod story to Frazier to explain both the return to Irving on a Thursday
LJ033-0211|and the obvious bulk of the package which he intended to bring to work the next day;|and the obvious bulk of the package which he intended to bring to work the next day;
LJ033-0212|(2) took paper and tape from the wrapping bench of the Depository and fashioned a bag large enough to carry the disassembled rifle;|(two) took paper and tape from the wrapping bench of the Depository and fashioned a bag large enough to carry the disassembled rifle;
LJ033-0213|(3) removed the rifle from the blanket in the Paines' garage on Thursday evening;|(three) removed the rifle from the blanket in the Paines' garage on Thursday evening;
LJ033-0214|(4) carried the rifle into the Depository Building, concealed in the bag;|(four) carried the rifle into the Depository Building, concealed in the bag;
LJ034-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ034-0002|The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter 4. The Assassin: Part 3.|The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter four. The Assassin: Part three.
LJ034-0003|Oswald at Window|Oswald at Window
LJ034-0004|Lee Harvey Oswald was hired on October 15, 1963, by the Texas School Book Depository as an "order filler."|Lee Harvey Oswald was hired on October fifteen, nineteen sixty-three, by the Texas School Book Depository as an "order filler."
LJ034-0005|He worked principally on the first and sixth floors of the building, gathering books listed on orders and delivering them to the shipping room on the first floor.|He worked principally on the first and sixth floors of the building, gathering books listed on orders and delivering them to the shipping room on the first floor.
LJ034-0006|He had ready access to the sixth floor, from the southeast corner window of which the shots were fired.|He had ready access to the sixth floor, from the southeast corner window of which the shots were fired.
LJ034-0007|The Commission evaluated the physical evidence found near the window after the assassination and the testimony of eyewitnesses|The Commission evaluated the physical evidence found near the window after the assassination and the testimony of eyewitnesses
LJ034-0008|in deciding whether Lee Harvey Oswald was present at this window at the time of the assassination.|in deciding whether Lee Harvey Oswald was present at this window at the time of the assassination.
LJ034-0009|Palmprints and Fingerprints on Cartons and Paper Bag|Palmprints and Fingerprints on Cartons and Paper Bag
LJ034-0010|Below the southeast corner window on the sixth floor was a large carton of books|Below the southeast corner window on the sixth floor was a large carton of books
LJ034-0011|measuring approximately 18 by 12 by 14 inches which had been moved from a stack along the south wall.|measuring approximately eighteen by twelve by fourteen inches which had been moved from a stack along the south wall.
LJ034-0012|Atop this carton was a small carton marked "Rolling Readers," measuring approximately 13 by 9 by 8 inches.|Atop this carton was a small carton marked "Rolling Readers," measuring approximately thirteen by nine by eight inches.
LJ034-0013|In front of this small carton and resting partially on the windowsill was another small "Rolling Readers" carton.|In front of this small carton and resting partially on the windowsill was another small "Rolling Readers" carton.
